code,title,type
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
ANT345,Building secure and scalable lakehouses for the future,Chalk talk
NTA312,Building The Enterprise Data Success Framework,Chalk talk
SAS402,Creating multi-tenant data lakehouses for agentic SaaS environments,Workshop
ANT342,ITTI's Cross-Company Data Mesh Blueprint with Amazon SageMaker,Lightning talk
IND356,Mastering data chaos: Enterprise-scale catalogs for financial services,Chalk talk
ISV307,Unlock New Business by Removing Data Silos with Zero-Copy ,Chalk talk
