code,title,type
CMP402,AI-assisted quantum software development using Amazon Braket and Amazon Bedrock,Chalk talk
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
CMP209,Amazon Braket Hubs - Accelerating R&D in national quantum initiatives,Chalk talk
CMP304,Architectures for Hybrid Quantum-Classical Workflows at Scale,Chalk talk
CMP408,Exploring hybrid quantum-classical computing with Amazon Braket,Workshop
CMP327,JPMC and Amazon Advanced Solutions Lab drive quantum R&D on Braket,Breakout session
CMP204,Quantum Computing: Accelerating Pharma Innovation,Chalk talk
CMP411,Quantum Computing with Amazon Braket: From Exploration to Enterprise,Breakout session
CMP205,Quantum Solutions Driving Enterprise Value: From Security to Finance,Chalk talk
