code,title,type
ARC329,Architect for Zero Trust in AWS,Chalk talk
DAT453,DynamoDB zero-trust architecture: Advanced access controls,Breakout session
AIM218-S,Harnessing AI and Zero Trust to Drive Secure Digital Transformation (sponsored by Zscaler),Breakout session
DEV317,Red Team vs Blue Team: Securing AI Agents,Breakout session
SEC216-S,"Seamless Network-based Fraud Protection for FinTech & Digital Business (sponsored by Vonage, Part of Ericsson)",Lightning talk
AIM106-S,Securing the AI Era: From Hype to Real-World Defense (sponsored by Zscaler),Breakout session
