code,title,type
NET318,From threat to threat intel: 360 degrees of DDOS,Breakout session
SEC409-S,How Arrivia Stopped a Data Theft Ring with Teramind (sponsored by Teramind),Breakout session
NET322,Level Up Your Bot Defense for Mobile Apps with AWS WAF SDK,Chalk talk
NET324,Managing Bots vs Humans with CloudFront and AWS WAF,Code talk
SEC216-S,"Seamless Network-based Fraud Protection for FinTech & Digital Business (sponsored by Vonage, Part of Ericsson)",Lightning talk
IND324,Simplify fraud investigation with Strands Agents and Amazon Nova Sonic,Chalk talk
API101-S,The Federal Fast Lane: Deploying Mission Technology at Commercial Speed (sponsored by LMI),Lightning talk
